name,jurusan
Universitas Indonesia (UI),"Produksi media, Ilmu komunikasi, Sastra, Sosiologi, Filsafat, Hukum, Ilmu politik, Bisnis digital, Ekonomi pembangunan, Antropologi, Arkeologi, Pariwisata, Sejarah, Ilmu perpustakaan, Hubungan internasional, Administrasi perkantoran, Kedokteran, Biologi, Geografi, Statistika, Aktuaria, Geologi, Teknik sipil, Teknik mesin, Teknik industri, Teknik lingkungan, Arsitektur, Akuntansi, Psikologi, Kesehatan Masyarakat, Gizi, Ilmu komputer, Sistem informasi, Farmasi, Manajemen, Fisioterapi, Kesehatan dan Keselamatan Kerja"
Universitas Gajah Mada (UGM),"Ilmu komunikasi, Sastra, Sosiologi, Filsafat, Hukum, Ilmu politik, Antropologi, Arkeologi, Pariwisata, Sejarah, Hubungan internasional, Biologi, Akuntansi, Manajemen, Farmasi, Geografi, Gizi, Kedokteran, Kehutanan, Ilmu komputer, Statistika, Agribisnis, Peternakan, Psikologi, Arsitektur, Perencanaan wilayah kota, Teknik industri, Teknik mesin, Teknik sipil, Teknologi pertanian, Kearsipan"
Universitas Airlangga (UNAIR),"Ilmu komunikasi, Sastra, Sosiologi, Hukum, Ilmu politik, Bisnis digital, Ekonomi pembangunan, Antropologi, Pariwisata, Sejarah, Ilmu perpustakaan, Hubungan internasional, Administrasi perkantoran, Kedokteran, Manajemen, Farmasi, Administrasi publik, Sistem informasi, Statistika, Biologi, Teknik lingkungan, Kesehatan Masyarakat, Gizi, Psikologi, Teknik industri, Kearsipan, Pengobatan Tradisional, Fisioterapi, Manajemen SDA (Sumber Daya Alam), Kesehatan dan Keselamatan Kerja"
Institut Teknologi Bandung (ITB),"DKV (Desain Komunikasi Visual), Teknik geomatika, Aktuaria, Desain produk, Seni Kriya, Seni rupa murni, Desain interior, Teknik lingkungan, Teknik sipil, Teknik industri, Arsitektur, Perencanaan wilayah kota, Manajemen, Farmasi, Biologi, Sistem informasi, Manajemen SDA (Sumber Daya Alam), Kewirausahaan"
Universitas Brawijaya (UB),"Ilmu komunikasi, Sosiologi, Sastra, Hukum, Ilmu politik, Ekonomi pembangunan, Antropologi, Pariwisata, Sejarah, Ilmu perpustakaan, Desain grafis, Hubungan internasional, Akuntansi, Manajemen, Administrasi publik, Agribisnis, Agroteknologi, Kehutanan, Peternakan, Teknik sipil, Teknik mesin, Teknik industri, Perencanaan wilayah kota, Arsitektur, Kedokteran, Farmasi, Ilmu kelautan, Biologi, Statistika, Aktuaria, Teknik lingkungan, Teknologi pertanian, Seni rupa murni, Sistem informasi, Gizi, Manajemen SDA (Sumber Daya Alam), Kewirausahaan"
Institut Pertanian Bogor (IPB),"Ekonomi pembangunan, Arsitektur, Ilmu kelautan, Ekowisata, Teknik lingkungan, Biologi, Agribisnis, Manajemen, Ekonomi syariah, Gizi, Kedokteran, Statistika, Ilmu komputer, Aktuaria, Teknologi pertanian, Manajemen SDA (Sumber Daya Alam)"
Universitas Sebelas Maret (UNS),"Ilmu komunikasi, Sastra, Sosiologi, Hukum, Bisnis digital, Ekonomi pembangunan, Antropologi, Sejarah, DKV (Desain Komunikasi Visual), Pendidikan jasmani & olahraga, Kepelatihan olahraga, Ilmu olahraga, Hubungan internasional, Administrasi perkantoran, BK (Bimbingan Konseling), PGSD (Pendidikan Guru Sekolah Dasar), Akuntansi, Manajemen, Kedokteran, Agribisnis, Agroteknologi, Peternakan, Arsitektur, Perencanaan wilayah kota, Teknik industri, Teknik mesin, Teknik sipil, Pendidikan bahasa, Pendidikan biologi, Biologi, Farmasi, Statistika, Ilmu lingkungan, Desain interior, Seni Kriya, Seni rupa murni, Psikologi, Ilmu perpustakaan, Teknologi pertanian, Kesehatan dan Keselamatan Kerja"
Institut Teknologi Sepuluh November (ITS),"Bisnis digital, DKV (Desain Komunikasi Visual), Biologi, Aktuaria, Statistika, Teknik mesin, Teknik sipil, Arsitektur, Teknik lingkungan, Perencanaan wilayah kota, Teknik geomatika, Kedokteran, Sistem informasi, Desain interior, Desain produk, Manajemen SDA (Sumber Daya Alam)"
Universitas Negeri Malang (UM),"Pendidikan seni musik, Sastra, Sosiologi, Sejarah, Ilmu perpustakaan, DKV (Desain Komunikasi Visual), Pendidikan jasmani & olahraga, Kepelatihan olahraga, Pendidikan Sendratasik, Ilmu olahraga, Administrasi perkantoran, BK (Bimbingan Konseling), PGSD (Pendidikan Guru Sekolah Dasar), Akuntansi, Tata boga, Pendidikan bahasa, Biologi, Pendidikan biologi, Gizi, Manajemen, Teknik mesin, Teknik industri, Teknik sipil, Tata busana, Kesehatan Masyarakat, Geografi, Ilmu komunikasi, Psikologi, Kedokteran"
Universitas Diponegoro (UNDIP),"Ilmu komunikasi, Sastra, Hukum, Bisnis digital, Antropologi, Sejarah, Ilmu perpustakaan, Hubungan internasional, Administrasi perkantoran, Manajemen, Akuntansi, Administrasi publik, Kedokteran, Gizi, Farmasi, Kesehatan Masyarakat, Ilmu kelautan, Manajemen SDA (Sumber Daya Alam), Peternakan, Agribisnis, Agroteknologi, Psikologi, Biologi, Statistika, Teknik sipil, Arsitektur, Teknik mesin, Perencanaan wilayah kota, Teknik industri, Teknik lingkungan, Kesehatan dan Keselamatan Kerja"
Universitas Negeri Semarang (UNNES),"Pendidikan seni musik, Sastra, Sosiologi, Hukum, Ilmu politik, Sejarah, DKV (Desain Komunikasi Visual), Pendidikan jasmani & olahraga, Kepelatihan olahraga, Pendidikan Sendratasik, Ilmu olahraga, Administrasi perkantoran, BK (Bimbingan Konseling), PGSD (Pendidikan Guru Sekolah Dasar), Psikologi, Pendidikan bahasa, Seni rupa murni, Geografi, Ilmu komunikasi, Statistika, Biologi, Pendidikan biologi, Sistem informasi, Ilmu lingkungan, Teknik sipil, Arsitektur, Teknik mesin, Tata boga, Tata busana, Tata rias, Manajemen, Akuntansi, Kedokteran, Kesehatan Masyarakat, Gizi, Farmasi"
Universitas Negeri Surabaya (UNESA),"Pendidikan seni musik, Ilmu komunikasi, Sastra, Manajemen pendidikan, Sosiologi, Hukum, Ilmu politik, Bisnis digital, Sejarah, Desain grafis, DKV (Desain Komunikasi Visual), Pendidikan jasmani & olahraga, Kepelatihan olahraga, Pendidikan Sendratasik, Ilmu olahraga, Hubungan internasional, Administrasi perkantoran, BK (Bimbingan Konseling), PGSD (Pendidikan Guru Sekolah Dasar), Pendidikan bahasa, Seni rupa murni, Seni musik, Manajemen, Akuntansi, Gizi, Psikologi, Administrasi publik, Biologi, Pendidikan biologi, Sains data, Teknik sipil, Teknik mesin, Sistem informasi, Tata rias, Tata boga, Tata busana, Manajemen Informatika, Kedokteran, Perencanaan wilayah kota, Aktuaria, Fisioterapi"
Universitas Jember (UNEJ),"Kesekretariatan, Sastra, Sosiologi, Hukum, Ekonomi pembangunan, Pariwisata, Sejarah, Hubungan internasional, Farmasi, Kedokteran, Teknologi pertanian, Kesehatan Masyarakat, Ilmu komputer, Agroteknologi, Pertanian, Agribisnis, Peternakan, Perencanaan keuangan, Akuntansi, Manajemen, Ekonomi syariah, Televisi dan Film, Gizi, Teknik mesin, Teknik sipil, Perencanaan wilayah kota, Teknik lingkungan, Biologi, Administrasi publik, Pendidikan bahasa, Geografi, Sistem informasi"
Universitas Islam Negeri Sunan Gunung Djati (UIN SGD) Bandung,"Ilmu komunikasi, Sosiologi, Manajemen pendidikan, Filsafat, Hukum, Sejarah, Ilmu perpustakaan, BK (Bimbingan Konseling), PAI (Pendidikan Agama Islam), Studi agama-agama, Tasawuf Psikoterapi, Pendidikan bahasa, Pendidikan biologi, Sastra, Psikologi, Biologi, Agroteknologi, Administrasi publik, Ilmu politik, Akuntansi, Ekonomi syariah, Perencanaan keuangan, Manajemen"
Universitas Islam Negeri Wali Songo (UIN WS) Semarang,"Sosiologi, Manajemen pendidikan, BK (Bimbingan Konseling), PAI (Pendidikan Agama Islam), Hukum, Pendidikan bahasa, Tasawuf Psikoterapi, Studi agama-agama, Arsitektur, Akuntansi, Manajemen, Ekonomi syariah, Ilmu politik, Psikologi, Gizi, Biologi, Pendidikan biologi, Teknik lingkungan, Ilmu komunikasi"
Universitas Islam Negeri Sunan Kalijaga (UINSUKA) Yogyakarta,"Ilmu komunikasi, Sosiologi, Manajemen pendidikan, Filsafat, Hukum, Sejarah, Ilmu perpustakaan, BK (Bimbingan Konseling), PAI (Pendidikan Agama Islam), Sastra, Pendidikan bahasa, Pendidikan biologi, Studi agama-agama, Biologi, Teknik industri, Arsitektur, Psikologi, Ekonomi syariah, Perencanaan keuangan, Akuntansi"
Universitas Islam Negeri Maulana Malik Ibrahim (UINMA) Malang,"Manajemen pendidikan, Hukum, Ilmu perpustakaan, PAI (Pendidikan Agama Islam), Pendidikan bahasa, Sastra, Psikologi, Manajemen, Akuntansi, Biologi, Arsitektur, Kedokteran, Farmasi"
Universitas Islam Negeri (UIN) Syarif Hidayatullah Jakarta,"Sosiologi, Manajemen pendidikan, Filsafat, Hukum, Ilmu politik, Ekonomi pembangunan, Sejarah, Ilmu perpustakaan, Hubungan internasional, BK (Bimbingan Konseling), PAI (Pendidikan Agama Islam), Pendidikan bahasa, Pendidikan biologi, Sastra, Studi agama-agama, Ilmu komunikasi, Psikologi, Manajemen, Akuntansi, Ekonomi syariah, Agribisnis, Sistem informasi, Biologi, Kesehatan Masyarakat, Farmasi, Kedokteran"
Universitas Islam Negeri Sunan Ampel Surabaya (UINSA),"Ilmu komunikasi, Sosiologi, Manajemen pendidikan, Filsafat, Hukum, Sejarah, Hubungan internasional, BK (Bimbingan Konseling), PAI (Pendidikan Agama Islam), Sastra, Pendidikan bahasa, Studi agama-agama, Tasawuf Psikoterapi, Akuntansi, Ekonomi syariah, Manajemen, Arsitektur, Biologi, Ilmu kelautan, Sistem informasi, Teknik lingkungan, Teknik sipil, Ilmu politik, Gizi, Psikologi, Kedokteran"
