name,bakat
Guru/Dosen,"Interpersonal, Linguistik, Logis Matematis"
Jurnalis/Wartawan,"Linguistik, Interpersonal, Logis Matematis"
Copy Writer,"Linguistik, Interpersonal, Visual Spasial"
Podcaster,"Linguistik, Interpersonal, Musikal"
Sekretaris,"Linguistik, Interpersonal, Logis Matematis"
Translator,"Linguistik, Intrapersonal, Logis Matematis"
Sutradara,"Visual Spasial, Interpersonal, Linguistik"
Influencer,"Interpersonal, Linguistik, Intrapersonal"
Diplomat,"Interpersonal, Linguistik, Logis Matematis"
Dokter,"Logis Matematis, Kinestetik, Interpersonal"
Aktuaris,"Logis Matematis, Intrapersonal, Visual Spasial"
Analis Keuangan,"Logis Matematis, Linguistik, Visual Spasial"
Robotik dan AI Specialist,"Logis Matematis, Visual Spasial, Kinestetik"
Game Delevoper,"Logis Matematis, Visual Spasial, Kinestetik"
Manajer,"Logis Matematis, Interpersonal, Linguistik"
Programmer,"Logis Matematis, Visual Spasial, Kinestetik"
Data Analyst,"Logis Matematis, Visual Spasial, Linguistik"
Pengusaha,"Logis Matematis, Interpersonal, Intrapersonal"
Apoteker,"Logis Matematis, Kinestetik, Intrapersonal"
Desainer,"Visual Spasial, Kinestetik, Interpersonal"
Arkeolog,"Visual Spasial, Linguistik, Logis Matematis"
Fotografer,"Visual Spasial, Kinestetik, Logis Matematis"
Insiyur,"Logis Matematis, Visual Spasial, Kinestetik"
Perencana Wilayah Kota,"Visual Spasial, Logis Matematis, Kinestetik"
Ilustrator,"Visual Spasial, Kinestetik, Interpersonal"
Arsitek,"Visual Spasial, Logis Matematis, Kinestetik"
Seniman,"Visual Spasial, Kinestetik, Intrapersonal"
Kartografer,"Visual Spasial, Logis Matematis, Kinestetik"
Psikolog,"Interpersonal, Intrapersonal, Logis Matematis"
Perawat,"Interpersonal, Logis Matematis, Kinestetik"
Public relation,"Interpersonal, Linguistik, Intrapersonal"
Konsultan,"Interpersonal, Logis Matematis, Linguistik"
Mentor,"Interpersonal, Intrapersonal, Linguistik"
Politisi,"Linguistik, Interpersonal, Logis Matematis"
Pekerja Layanan Pelanggan,"Interpersonal, Linguistik, Kinestetik"
HRD,"Interpersonal, Intrapersonal, Logis Matematis"
Penulis,"Linguistik, Intrapersonal, Interpersonal"
Sosiolog,"Interpersonal, Linguistik, Logis Matematis"
Konselor,"Interpersonal, Intrapersonal, Linguistik"
Guru Agama,"Intrapersonal, Linguistik, Interpersonal"
Antropolog,"Linguistik, Interpersonal, Intrapersonal"
Atlet,"Kinestetik, Intrapersonal, Visual Spasial"
Koreografer,"Kinestetik, Visual Spasial, Musikal"
Guru Olahraga,"Kinestetik, Interpersonal, Intrapersonal"
Aktor,"Kinestetik, Interpersonal, Intrapersonal"
Koki,"Kinestetik, Visual Spasial, Logis Matematis"
Tour Guide,"Interpersonal, Linguistik, Visual Spasial"
MUA,"Visual Spasial, Kinestetik, Interpersonal"
Fisioterapis,"Kinestetik, Interpersonal, Intrapersonal"
Dokter Hewan,"Logis Matematis, Naturalis, Interpersonal"
Agronomis (Ahli Pertanian),"Naturalis, Logis Matematis, Visual Spasial"
Ahli Teknologi Lingkungan,"Logis Matematis, Naturalis, Kinestetik"
Pengelola Peternakan,"Naturalis, Logis Matematis, Kinestetik"
Ahli Pengelolaan SDA,"Logis Matematis, Naturalis, Visual Spasial"
Pengelola Ekowisata,"Naturalis, Interpersonal, Visual Spasial"
Musisi,"Musikal, Kinestetik, Intrapersonal"
Komposer Lagu,"Musikal, Logis Matematis, Intrapersonal"
Produser Musik,"Musikal, Interpersonal, Logis Matematis"
Guru Musik,"Musikal, Interpersonal, Kinestetik"
Sound Engineer,"Musikal, Logis Matematis, Kinestetik"
Penyiar radio,"Interpersonal, Linguistik, Musikal"
